medium version intensity reflectance luminance
transp_med_steep 5 7 1.023 175
transp_med_steep 6 9 1.768 230
transp_med_steep 7 10 2.22 264
transp_med_steep 8 7 1.023 176
transp_med_steep 9 10 2.22 263
plain 10 10 2.22 389
plain 1 1 0.065 15
plain 11 10 2.22 386
plain 12 9 1.768 308
plain 13 3 0.171 33
plain 14 5 0.49 87
plain 15 7 1.023 179
plain 2 8 1.369 239
plain 3 4 0.305 56
plain 4 7 1.023 179
plain 5 2 0.092 19
plain 6 6 0.73 130
plain 7 1 0.065 15
plain 8 7 1.023 179
plain 9 8 1.369 239
shadow 10 2 0.092 8
shadow 11 5 0.49 28
shadow 12 2 0.092 8
shadow 13 4 0.305 18
shadow 14 10 2.22 120
shadow 1 10 2.22 120
shadow 15 3 0.171 13
shadow 2 7 1.023 57
shadow 3 5 0.49 29
shadow 4 2 0.092 8
shadow 5 8 1.369 76
shadow 6 5 0.49 29
shadow 7 9 1.768 96
shadow 8 5 0.49 29
shadow 9 10 2.22 120
transp_dark 10 2 0.092 20
transp_dark 11 4 0.305 28
transp_dark 12 6 0.73 42
transp_dark 13 5 0.49 34
transp_dark 14 2 0.092 20
transp_dark 15 7 1.023 53
transp_dark 1 2 0.092 20
transp_dark 2 8 1.369 65
transp_dark 3 9 1.768 79
transp_dark 4 7 1.023 53
transp_dark 5 10 2.22 93
transp_dark 6 5 0.49 34
transp_dark 7 6 0.73 42
transp_dark 8 9 1.768 79
transp_dark 9 8 1.369 65
transp_dark_steep 10 3 0.171 26
transp_dark_steep 11 10 2.22 167
transp_dark_steep 12 5 0.49 47
transp_dark_steep 13 1 0.065 18
transp_dark_steep 14 9 1.768 135
transp_dark_steep 1 2 0.092 20
transp_dark_steep 15 10 2.22 167
transp_dark_steep 2 7 1.023 85
transp_dark_steep 3 4 0.305 34
transp_dark_steep 4 3 0.171 26
transp_dark_steep 5 8 1.369 108
transp_dark_steep 6 2 0.092 20
transp_dark_steep 7 5 0.49 48
transp_dark_steep 8 6 0.73 65
transp_dark_steep 9 8 1.369 108
transp_med 10 5 0.49 145
transp_med 11 10 2.22 204
transp_med 12 3 0.171 134
transp_med 13 4 0.305 138
transp_med 14 1 0.065 130
transp_med 15 7 1.023 163
transp_med 1 1 0.065 130
transp_med 2 7 1.023 163
transp_med 3 6 0.73 153
transp_med 4 5 0.49 145
transp_med 5 2 0.092 131
transp_med 6 9 1.768 189
transp_med 7 3 0.171 134
transp_med 8 3 0.171 134
transp_med 9 9 1.768 189
transp_med_steep 10 2 0.092 104
transp_med_steep 11 7 1.023 167
transp_med_steep 12 5 0.49 130
transp_med_steep 13 9 1.768 219
transp_med_steep 14 6 0.73 146
transp_med_steep 15 5 0.49 131
transp_med_steep 1 6 0.73 147
transp_med_steep 2 2 0.092 104
transp_med_steep 3 2 0.092 104
transp_med_steep 4 10 2.22 250
transp_med_steep 5 9 1.768 219
transp_med_steep 6 3 0.171 109
transp_med_steep 7 4 0.305 119
transp_med_steep 8 4 0.305 119
transp_med_steep 9 7 1.023 166
plain 10 10 2.22 389
plain 1 1 0.065 15
plain 11 10 2.22 387
plain 12 9 1.768 309
plain 13 3 0.171 33
plain 14 5 0.49 87
plain 15 7 1.023 179
plain 2 8 1.369 240
plain 3 4 0.305 56
plain 4 7 1.023 180
plain 5 2 0.092 19
plain 6 6 0.73 130
plain 7 1 0.065 15
plain 8 7 1.023 180
plain 9 8 1.369 239
shadow 10 2 0.092 8
shadow 11 5 0.49 28
shadow 12 2 0.092 8
shadow 13 4 0.305 18
shadow 14 10 2.22 120
shadow 1 10 2.22 120
shadow 15 3 0.171 13
shadow 2 7 1.023 58
shadow 3 5 0.49 29
shadow 4 2 0.092 8
shadow 5 8 1.369 76
shadow 6 5 0.49 29
shadow 7 9 1.768 96
shadow 8 5 0.49 29
shadow 9 10 2.22 120
transp_dark 10 2 0.092 20
transp_dark 11 4 0.305 28
transp_dark 12 6 0.73 42
transp_dark 13 5 0.49 34
transp_dark 14 2 0.092 20
transp_dark 15 7 1.023 53
transp_dark 1 2 0.092 20
transp_dark 2 8 1.369 65
transp_dark 3 9 1.768 79
transp_dark 4 7 1.023 53
transp_dark 5 10 2.22 94
transp_dark 6 5 0.49 34
transp_dark 7 6 0.73 42
transp_dark 8 9 1.768 79
transp_dark 9 8 1.369 65
transp_dark_steep 10 3 0.171 26
transp_dark_steep 11 10 2.22 167
transp_dark_steep 12 5 0.49 48
transp_dark_steep 13 1 0.065 18
transp_dark_steep 14 9 1.768 136
transp_dark_steep 1 2 0.092 20
transp_dark_steep 15 10 2.22 167
transp_dark_steep 2 7 1.023 85
transp_dark_steep 3 4 0.305 34
transp_dark_steep 4 3 0.171 26
transp_dark_steep 5 8 1.369 108
transp_dark_steep 6 2 0.092 20
transp_dark_steep 7 5 0.49 48
transp_dark_steep 8 6 0.73 65
transp_dark_steep 9 8 1.369 108
transp_med 10 5 0.49 145
transp_med 11 10 2.22 204
transp_med 12 3 0.171 135
transp_med 13 4 0.305 138
transp_med 14 1 0.065 130
transp_med 15 7 1.023 163
transp_med 1 1 0.065 130
transp_med 2 7 1.023 163
transp_med 3 6 0.73 153
transp_med 4 5 0.49 145
transp_med 5 2 0.092 131
transp_med 6 9 1.768 189
transp_med 7 3 0.171 134
transp_med 8 3 0.171 134
transp_med 9 9 1.768 189
transp_med_steep 10 2 0.092 104
transp_med_steep 11 7 1.023 167
transp_med_steep 12 5 0.49 131
transp_med_steep 13 9 1.768 219
transp_med_steep 14 6 0.73 147
transp_med_steep 15 5 0.49 131
transp_med_steep 1 6 0.73 147
transp_med_steep 2 2 0.092 104
transp_med_steep 3 2 0.092 104
transp_med_steep 4 10 2.22 250
transp_med_steep 5 9 1.768 219
transp_med_steep 6 3 0.171 109
transp_med_steep 7 4 0.305 119
transp_med_steep 8 4 0.305 119
transp_med_steep 9 7 1.023 167
plain 10 4 0.305 59
plain 1 5 0.49 93
plain 11 4 0.305 59
plain 12 2 0.092 22
plain 13 4 0.305 58
plain 14 6 0.73 136
plain 15 1 0.065 16
plain 2 9 1.768 323
plain 3 3 0.171 36
plain 4 5 0.49 92
plain 5 1 0.065 15
plain 6 9 1.768 324
plain 7 7 1.023 187
plain 8 9 1.768 324
plain 9 2 0.092 22
shadow 10 4 0.305 18
shadow 11 4 0.305 18
shadow 12 1 0.065 6
shadow 13 9 1.768 97
shadow 14 1 0.065 6
shadow 1 8 1.369 75
shadow 15 7 1.023 58
shadow 2 5 0.49 30
shadow 3 4 0.305 19
shadow 4 9 1.768 97
shadow 5 1 0.065 6
shadow 6 2 0.092 8
shadow 7 1 0.065 5
shadow 8 1 0.065 6
shadow 9 8 1.369 74
transp_dark 10 5 0.49 35
transp_dark 11 7 1.023 56
transp_dark 12 5 0.49 35
transp_dark 13 4 0.305 29
transp_dark 14 1 0.065 20
transp_dark 15 9 1.768 82
transp_dark 1 4 0.305 29
transp_dark 2 9 1.768 82
transp_dark 3 4 0.305 28
transp_dark 4 5 0.49 34
transp_dark 5 6 0.73 44
transp_dark 6 1 0.065 20
transp_dark 7 10 2.22 99
transp_dark 8 1 0.065 20
transp_dark 9 3 0.171 24
transp_dark_steep 10 10 2.22 174
transp_dark_steep 11 6 0.73 67
transp_dark_steep 12 8 1.369 113
transp_dark_steep 13 6 0.73 67
transp_dark_steep 14 5 0.49 50
transp_dark_steep 1 8 1.369 113
transp_dark_steep 15 4 0.305 37
transp_dark_steep 2 3 0.171 27
transp_dark_steep 3 2 0.092 20
transp_dark_steep 4 1 0.065 19
transp_dark_steep 5 10 2.22 174
transp_dark_steep 6 8 1.369 113
transp_dark_steep 7 6 0.73 68
transp_dark_steep 8 4 0.305 37
transp_dark_steep 9 2 0.092 20
transp_med 10 7 1.023 167
transp_med 11 8 1.369 179
transp_med 12 2 0.092 132
