medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_dark_steep f2 1.768 1.768 1.023 2.220 0.922651492669 460.753242219 10 0.422651492669 211.063491604
transp_dark_steep f3 1.023 1.768 1.023 2.220 0.879639053447 439.273711774 15 0.229639053447 114.677035974
transp_med e3 0.092 0.305 1.023 0.092 0.830481290778 414.725332771 14 0.130481290778 65.1596819088
transp_med f2 0.305 0.305 1.023 0.092 0.450887250592 225.163850312 6 0.150887250592 75.3499999426
transp_med f3 1.023 0.305 1.023 0.092 0.419198872665 209.339323948 3 0.269198872665 134.432398764
transp_med e3 1.023 0.065 0.305 1.023 0.104016241865 51.9435789828 15 0.45 224.720775554
transp_med f2 0.065 0.065 0.305 1.023 0.111300678447 55.5812772897 1 0.161300678447 80.5502523513
transp_med f3 0.305 0.065 0.305 1.023 0.921389108798 460.122833592 13 0.371389108798 185.464107914
transp_dark e3 0.092 0.065 0.171 0.092 0.476723185261 238.065786481 12 0 0.0
transp_dark f2 0.065 0.065 0.171 0.092 0.0904021757982 45.1449934603 2 0 0.0
transp_dark f3 0.171 0.065 0.171 0.092 0.122859369565 61.3534506949 5 0.0728593695649 36.3844756333
shadow e3 0.171 1.768 0.065 0.171 0.301625991034 150.625836961 7 0.0516259910337 25.780961653
shadow f2 1.768 1.768 0.065 0.171 0.590180545902 294.724066649 5 0.440180545902 219.817141464
shadow f3 0.065 1.768 0.065 0.171 0.564164820921 281.732346884 14 0 0.0
plain e3 2.220 0.065 1.023 2.220 0.219978924625 109.852965661 15 0.869978924625 434.449641461
plain f2 0.065 0.065 1.023 2.220 0.170204579644 84.9966780897 9 0 0.0
plain f3 1.023 0.065 1.023 2.220 0.435023124236 217.241630805 4 0.335023124236 167.303680682
transp_dark e3 0.065 0.092 0.730 0.065 0.131700228007 65.768394174 6 0 0.0
transp_dark f2 0.092 0.092 0.730 0.065 0.329083360051 164.337484206 8 0.0290833600511 14.5236338365
transp_dark f3 0.730 0.092 0.730 0.065 0.618187405048 308.710118 7 0.268187405048 133.927292569
transp_med_steep e3 0.171 0.065 1.023 0.171 0.5730388393 286.163849756 11 0.1230388393 61.4430742015
transp_med_steep f2 0.065 0.065 1.023 0.171 0.12552559927 62.684911155 7 0.1 49.9379501231
transp_med_steep f3 1.023 0.065 1.023 0.171 0.00734965398654 3.67026654202 13 0.557349653987 278.328992219
transp_dark e3 1.369 0.730 0.092 1.369 0.102742081714 51.3072895219 6 0.302742081714 151.183189768
transp_dark f2 0.730 0.730 0.092 1.369 0.330882019409 165.235697819 3 0.180882019409 90.3287726344
transp_dark f3 0.092 0.730 0.092 1.369 0.360596888569 180.074694359 10 0.05 24.9689750616
transp_med_steep e3 0.730 0.490 0.305 0.730 0.845370348311 422.160622895 11 0.395370348311 197.439847341
transp_med_steep f2 0.490 0.490 0.305 0.730 0.872567650489 435.742398092 14 0.272567650489 136.114697353
transp_med_steep f3 0.305 0.490 0.305 0.730 0.718148199356 358.628489605 13 0.168148199356 83.9697639275
transp_med e3 1.369 0.171 0.065 1.369 0.858413396676 428.674053882 8 0.458413396676 228.92225339
transp_med f2 0.171 0.171 0.065 1.369 0.189990633539 94.8774278151 1 0.139990633539 69.9084527536
transp_med f3 0.065 0.171 0.065 1.369 0.494827945949 247.106932844 13 0.05 24.9689750616
transp_dark_steep e3 0.305 1.023 1.369 0.305 0.638868588581 319.037877118 11 0.0888685885808 44.3791514406
transp_dark_steep f2 1.023 1.023 1.369 0.305 0.994380118495 496.573047608 16 0.194380118495 97.0694466233
transp_dark_steep f3 1.369 1.023 1.369 0.305 0.138808678403 69.3182085877 8 0.238808678403 119.256158711
plain e3 0.305 1.369 0.730 0.305 0.548348233473 273.833867333 12 0.0483482334735 24.1441167174
plain f2 1.369 1.369 0.730 0.305 0.281428577938 140.539662883 7 0.131428577938 65.6327376981
plain f3 0.730 1.369 0.730 0.305 0.442272827288 220.861983899 3 0.292272827288 145.955058715
transp_dark e3 2.220 1.023 0.305 2.220 0.612334244372 305.787169542 3 0.462334244372 230.880244357
transp_dark f2 1.023 1.023 0.305 2.220 0.24880530552 124.248269374 3 0.19880530552 99.2792943129
transp_dark f3 0.305 1.023 0.305 2.220 0.553729464078 276.521143588 9 0.103729464078 51.8003680343
transp_dark e3 1.768 0.490 1.023 1.768 0.355458155199 177.508516252 2 0.455458155199 227.446466375
transp_dark f2 0.490 0.490 1.023 1.768 0.379219633701 189.374511535 10 0.0792196337014 39.5606611656
transp_dark f3 1.023 0.490 1.023 1.768 0.189178651734 94.4719407463 3 0.239178651734 119.440915808
transp_dark_steep e3 0.092 0.171 0.065 0.092 0.342128854109 170.852136522 6 0.0421288541089 21.0382861524
transp_dark_steep f2 0.171 0.171 0.065 0.092 0.451490116293 225.464909085 7 0.101490116293 50.6820836543
transp_dark_steep f3 0.065 0.171 0.065 0.092 0.781624405257 390.327205648 17 0.05 24.9689750616
transp_med_steep e3 0.171 1.768 0.092 0.171 0.367211553768 183.377922567 6 0.0672115537677 33.5640721975
transp_med_steep f2 1.768 1.768 0.092 0.171 0.391576999623 195.545526766 17 0.641576999623 320.390402073
