d2_n d2_v d3_n d3_v d4_n d4_v e1_n e1_v e2_n e2_v e3_n e3_v e4_n e4_v f1_n f1_v f2_n f2_v f3_n f3_v f4_n f4_v g1_n g1_v g2_n g2_v g3_n g3_v g4_n g4_v 
85	0.3333	5	0.0196	27	0.1059	144	0.5647	7	0.0275	155	0.6078	27	0.1059	60	0.2353	14	0.0549	122	0.4784	95	0.3725	114	0.4471	118	0.4627	5	0.0196	28	0.1098	
85	0.3333	5	0.0196	27	0.1059	144	0.5647	7	0.0275	155	0.6078	27	0.1059	60	0.2353	14	0.0549	122	0.4784	95	0.3725	114	0.4471	118	0.4627	5	0.0196	28	0.1098	
21	0.0824	15	0.0588	85	0.3333	21	0.0824	7	0.0275	8	0.0314	55	0.2157	11	0.0431	22	0.0863	7	0.0275	7	0.0275	11	0.0431	11	0.0431	31	0.1216	8	0.0314	
21	0.0824	15	0.0588	85	0.3333	21	0.0824	7	0.0275	8	0.0314	55	0.2157	11	0.0431	22	0.0863	7	0.0275	7	0.0275	11	0.0431	11	0.0431	31	0.1216	8	0.0314	
21	0.0824	15	0.0588	85	0.3333	21	0.0824	7	0.0275	8	0.0314	55	0.2157	11	0.0431	22	0.0863	7	0.0275	7	0.0275	11	0.0431	11	0.0431	31	0.1216	8	0.0314	
80	0.3137	81	0.3176	56	0.2196	79	0.3098	62	0.2431	63	0.2471	72	0.2824	70	0.2745	71	0.2784	52	0.2039	84	0.3294	80	0.3137	51	0.2000	48	0.1882	73	0.2863	
80	0.3137	81	0.3176	56	0.2196	79	0.3098	62	0.2431	63	0.2471	72	0.2824	70	0.2745	71	0.2784	52	0.2039	84	0.3294	80	0.3137	51	0.2000	48	0.1882	73	0.2863	
80	0.3137	81	0.3176	56	0.2196	79	0.3098	62	0.2431	63	0.2471	72	0.2824	70	0.2745	71	0.2784	52	0.2039	84	0.3294	80	0.3137	51	0.2000	48	0.1882	73	0.2863	
14	0.0549	5	0.0196	44	0.1725	5	0.0196	41	0.1608	8	0.0314	8	0.0314	146	0.5725	5	0.0196	122	0.4784	15	0.0588	5	0.0196	5	0.0196	160	0.6275	167	0.6549	
14	0.0549	5	0.0196	44	0.1725	5	0.0196	41	0.1608	8	0.0314	8	0.0314	146	0.5725	5	0.0196	122	0.4784	15	0.0588	5	0.0196	5	0.0196	160	0.6275	167	0.6549	
