medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_dark f3 0.305 1.023 0.305 2.220 0.379388353467 189.458766728 5 0.129388353467 64.6138914197
transp_dark e3 1.768 0.490 1.023 1.768 0.0679617809614 33.9387202793 6 0.367961780961 183.752570649
transp_dark f2 0.490 0.490 1.023 1.768 0.29642383106 148.027984908 4 0.0964238310597 48.1520846614
transp_dark f3 1.023 0.490 1.023 1.768 0.519287818489 259.321691793 5 0.269287818489 134.476816485
transp_dark_steep e3 0.092 0.171 0.065 0.092 0.146524808863 73.1714859679 2 0.0465248088627 23.2335358447
transp_dark_steep f2 0.171 0.171 0.065 0.092 0.49101512251 245.202886976 10 0.0910151225103 45.4510864837
transp_dark_steep f3 0.065 0.171 0.065 0.092 0.511113187954 255.239448873 23 0.0311131879538 15.5372882821
transp_med_steep e3 0.171 1.768 0.092 0.171 0.645174784824 322.187062253 9 0.195174784824 97.4662866985
transp_med_steep f2 1.768 1.768 0.092 0.171 0.558127335816 278.717350584 1 0.508127335816 253.748375522
transp_med_steep f3 0.092 1.768 0.092 0.171 0.921011248808 459.934138058 16 0.121011248808 60.4305370732
transp_med e3 1.768 1.369 0.730 1.768 0.934344786374 466.592633397 10 0.434344786374 216.902882782
transp_med f2 1.369 1.369 0.730 1.768 0.355922437518 177.740369325 0 0.355922437518 177.740369325
transp_med f3 0.730 1.369 0.730 1.768 0.97966027995 489.222261978 12 0.37966027995 189.594561239
transp_med_steep e3 1.768 0.730 1.369 1.768 0.930334270926 464.589864193 7 0.580334270926 289.807038762
transp_med_steep f2 0.730 0.730 1.369 1.768 0.0678957254196 33.9057334958 10 0.36789572542 183.719583865
transp_med_steep f3 1.369 0.730 1.369 1.768 0.472092501051 235.75331771 1 0.522092501051 260.722292772
plain e3 0.171 2.220 0.305 0.171 0.729391249437 364.243038346 22 0.0693912494369 34.6525675336
plain f2 2.220 2.220 0.305 0.171 0.939254209121 469.04429848 2 0.839254209121 419.106348357
plain f3 0.305 2.220 0.305 0.171 0.00936448218733 4.676430444 9 0.125 62.4224376539
transp_dark_steep e3 1.023 2.220 0.305 1.023 0.638223905448 318.715935576 7 0.288223905448 143.933110145
transp_dark_steep f2 2.220 2.220 0.305 1.023 0.00821302096682 4.10141431401 10 0.508213020967 253.79116493
transp_dark_steep f3 0.305 2.220 0.305 1.023 0.820937026381 409.959122777 15 0.170937026381 85.3624469763
transp_med e3 1.023 0.171 0.092 1.023 0.812791241324 405.891284698 8 0.412791241324 206.139484205
transp_med f2 0.171 0.171 0.092 1.023 0.975307531529 487.048588642 25 0.220307531529 110.017065213
transp_med f3 0.092 0.171 0.092 1.023 0.882525723207 440.715255479 14 0.182525723207 91.1496046172
transp_med e3 0.490 0.305 2.220 0.490 0.858219855589 428.577403431 13 0.208219855589 103.980727631
transp_med f2 0.305 0.305 2.220 0.490 0.827355818954 413.16453621 13 0.177355818954 88.5678604098
transp_med f3 2.220 0.305 2.220 0.490 0.263947399842 131.809920884 10 0.563947399842 281.623771254
transp_med e3 2.220 0.490 0.730 2.220 0.0656924221832 32.8054490245 10 0.465692422183 232.557249517
transp_med f2 0.490 0.490 0.730 2.220 0.285763262674 142.704315584 5 0.335763262674 167.673290646
transp_med f3 0.730 0.490 0.730 2.220 0.469316510723 234.367045045 5 0.319316510723 159.46011986
transp_med e3 1.023 1.369 0.065 1.023 0.705067778187 352.096395406 8 0.405067778187 202.282545036
transp_med f2 1.369 1.369 0.065 1.023 0.587552719384 293.411783953 3 0.437552719384 218.504858768
transp_med f3 0.065 1.369 0.065 1.023 0.508328718709 253.848942011 8 0.208328718709 104.035091641
transp_dark e3 2.220 1.768 1.023 2.220 0.969856239811 484.326325303 10 0.469856239811 234.636574687
transp_dark f2 1.768 1.768 1.023 2.220 0.445972873639 222.709711201 2 0.345972873639 172.771761078
transp_dark f3 1.023 1.768 1.023 2.220 0.299473145519 149.550750041 11 0.274473145519 137.066262511
