medium location target_lum f2 f3 e3 start_int start_lum n_changes match_int match_lum
transp_dark f2 0.092 0.092 0.730 0.065 0.710149743014 354.634224466 15 0.0601497430141 30.0375486656
transp_dark f3 0.730 0.092 0.730 0.065 0.863934459458 431.431159461 17 0.258934459458 129.306561216
transp_med_steep e3 0.065 0.092 2.220 0.065 0.198465620309 99.1096624813 9 0.07 34.9565650862
transp_med_steep f2 0.092 0.092 2.220 0.065 0.661012381977 330.096033619 13 0.111012381977 55.4373079422
transp_med_steep f3 2.220 0.092 2.220 0.065 0.527090870154 263.218375841 8 0.682090870154 340.622198532
transp_med e3 1.768 1.369 0.730 1.768 0.114241693544 57.0499599419 18 0.649241693544 324.217993101
transp_med f2 1.369 1.369 0.730 1.768 0.306673791284 153.146604932 4 0.506673791284 253.022505179
transp_med f3 0.730 1.369 0.730 1.768 0.106880010432 53.3736863013 68 0.306880010432 153.249586548
shadow e3 0.730 1.023 0.305 0.730 0.853369208155 426.155089535 13 0.203369208155 101.558413734
shadow f2 1.023 1.023 0.305 0.730 0.428589272851 214.028697309 8 0.538589272851 268.960442445
shadow f3 0.305 1.023 0.305 0.730 0.00577418533455 2.88350979238 11 0.100774185335 50.3245624094
transp_med e3 1.768 0.730 1.369 1.768 0.150684036571 75.2485190262 10 0.650684036571 324.938269642
transp_med f2 0.730 0.730 1.369 1.768 0.252705443367 126.195918267 18 0.312705443367 156.158688341
transp_med f3 1.369 0.730 1.369 1.768 0.752320682934 375.69352741 13 0.487320682934 243.357959583
transp_med e3 0.171 0.092 0.065 0.171 0.330221424843 164.905810434 8 0.210221424843 104.980270286
transp_med f2 0.092 0.092 0.065 0.171 0.305510728356 152.565795147 2 0.205510728356 102.627845024
transp_med f3 0.065 0.092 0.065 0.171 0.0405072780785 20.2285043231 6 0.175507278078 87.6447369893
shadow e3 1.768 1.369 2.220 1.768 0.335572438199 167.577996815 4 0.435572438199 217.515946938
shadow f2 1.369 1.369 2.220 1.768 0.36495615793 182.251624119 6 0.66495615793 332.065474488
shadow f3 2.220 1.369 2.220 1.768 0.951533934412 475.176541572 5 0.8 399.503600985
transp_med e3 1.023 1.369 0.065 1.023 0.440946404121 220.19959536 1 0.490946404121 245.168570421
transp_med f2 1.369 1.369 0.065 1.023 0.152663164762 76.2368550751 7 0.502663164762 251.019680506
